,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
0,19572024,1.0,False,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3,6,14,$279.00,3,300,True,6,3,4.69,False,,46.5,837.0,0.09,0.16,0.14,4.99,Watergraafsmeer,0.8164383561643835,299.3095890410959
1,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3,3,7,$185.00,6,21,True,0,0,4.83,False,,37.0,1110.0,0.06,0.12,0.18,4.99,Watergraafsmeer,0.03561643835616438,188.26027397260273
2,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,2,4,4,$135.00,6,1125,True,7,0,4.43,False,,27.0,810.0,0.08,0.13,0.17,4.99,Noord-Oost,0.16164383561643836,149.7123287671233
3,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1,1,8,$59.00,30,1125,True,0,0,4.88,True,,59.0,1770.0,0.05,0.12,0.15,2.99,Watergraafsmeer,0.6712328767123288,59.3013698630137
4,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3,4,14,$275.00,5,42,True,18,1,4.14,False,,45.83,1375.0,0.02,0.15,0.28,4.99,Bijlmer-Centrum,0.4602739726027397,275.0
5,51340421,0.64,False,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2,2,11,$275.00,1,1125,True,10,3,4.73,False,,68.75,275.0,0.11,0.15,0.23,4.99,Watergraafsmeer,0.3333333333333333,269.04761904761904
6,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,4,2,6,$150.00,4,1125,True,1,1,4.88,False,,25.0,600.0,0.09,0.13,0.18,4.99,Watergraafsmeer,0.0684931506849315,179.17808219178082
7,47709873,1.0,False,Westerpark,52.39589,4.87612,Entire home/apt,2,1,1,6,$210.00,3,120,True,0,0,4.75,True,,105.0,630.0,0.09,0.15,0.19,4.99,Westerpark,0.43561643835616437,216.96986301369864
8,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1,2,4,$49.00,3,28,True,3,4,4.47,True,,24.5,147.0,0.08,0.1,0.14,0.99,Oostelijk Havengebied - Indische Buurt,0.20821917808219179,69.38082191780822
9,44391,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2,2,1,$240.00,3,730,True,0,0,4.71,False,,60.0,720.0,0.09,0.17,0.29,4.99,Centrum-Oost,0.0,240.0
10,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2,2,5,$232.00,3,1125,True,0,8,4.91,False,,77.33,696.0,0.1,0.25,0.25,4.99,Centrum-West,0.4581005586592179,232.5
11,55709,0.19000000000000006,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1,1,5,$151.00,3,30,True,0,0,4.95,False,,75.5,453.0,0.09,0.19,0.24,4.99,Centrum-Oost,0.0027397260273972603,163.73698630136985
12,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2,2,1,$149.00,4,21,True,0,0,4.86,False,,37.25,596.0,0.06,0.14,0.18,4.99,Zuid,0.0,149.84383561643835
13,80635,0.87,True,Centrum-West,52.37828,4.8944,Private room,1,1,1,1,$82.00,3,1125,True,0,0,4.77,True,,82.0,246.0,0.05,0.11,0.15,4.99,Centrum-West,0.0,81.84931506849315
14,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1,1,10,$115.00,14,30,True,0,0,4.89,False,,57.5,1610.0,0.07,0.14,0.18,4.99,Zuid,0.0,115.0
15,137026,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,4,4,11,$265.00,2,1125,True,0,0,4.77,False,,66.25,530.0,0.13,0.25,0.27,4.99,De Pijp - Rivierenbuurt,0.05405405405405406,263.02702702702703
16,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,1,4,$175.00,3,21,True,0,0,4.75,False,,87.5,525.0,0.06,0.14,0.19,4.99,De Baarsjes - Oud-West,0.4328767123287671,152.34246575342465
17,168769,0.65,True,Centrum-West,52.37956,4.89359,Private room,1,1,1,3,$88.00,3,1124,True,0,0,4.58,True,,88.0,264.0,0.04,0.07,0.18,4.99,Centrum-West,0.0,87.84931506849315
18,169356,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1,1,11,$195.00,7,7,True,0,0,5.0,False,,97.5,1365.0,0.06,0.13,0.21,4.99,Centrum-West,0.1780821917808219,195.0
19,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2,2,10,$270.00,21,100,True,6,0,4.5,True,,90.0,5670.0,0.08,0.21,0.28,4.99,De Pijp - Rivierenbuurt,0.1506849315068493,295.2328767123288
20,188347,0.77,False,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1,1,3,$111.00,1,6,True,4,0,4.65,False,,55.5,111.0,0.07,0.12,0.19,4.99,De Baarsjes - Oud-West,0.7692307692307693,197.69230769230768
21,193038,1.0,True,Centrum-Oost,52.36057,4.89671,Private room,2,1,1,4,$121.00,3,31,True,2,5,4.96,True,,60.5,363.0,0.07,0.15,0.18,4.99,Centrum-Oost,0.20498614958448755,120.0
22,214531,0.5,True,Centrum-West,52.37169,4.89446,Private room,3,1,2,5,$115.00,3,50,True,0,0,4.83,False,,38.33,345.0,0.1,0.13,0.18,4.99,Centrum-West,0.0,124.15342465753425
23,222516,1.0,False,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1,1,8,$119.00,7,21,True,0,1,4.71,False,,59.5,833.0,0.07,0.15,0.2,4.99,De Baarsjes - Oud-West,0.0,121.32876712328768
24,245927,1.0,True,Centrum-West,52.36815,4.88604,Entire home/apt,4,2,3,23,$515.00,2,180,True,0,1,4.58,True,,128.75,1030.0,0.1,0.22,0.25,10.99,Centrum-West,0.3673469387755102,835.5918367346939
25,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2,2,16,$385.00,4,30,True,0,0,4.89,False,,96.25,1540.0,0.06,0.23,0.16,4.99,Centrum-Oost,0.4520547945205479,383.55890410958904
26,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1,1,5,$88.00,4,30,True,0,0,4.85,False,,44.0,352.0,0.05,0.1,0.18,4.99,Bos en Lommer,0.0,87.84931506849315
27,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,1,2,1,$130.00,4,21,True,0,1,4.75,False,,32.5,520.0,0.06,0.14,0.18,4.99,Geuzenveld - Slotermeer,0.7013698630136986,130.0
28,286500,0.8400000000000001,True,Centrum-West,52.37561,4.9,Private room,2,1,1,5,$162.00,3,365,True,1,3,4.89,True,,81.0,486.0,0.09,0.21,0.18,4.99,Centrum-West,0.6177285318559557,188.41828254847644
29,290701,1.0,True,Centrum-West,52.37561,4.9,Private room,2,1,1,4,$161.00,3,365,True,3,6,4.85,True,,80.5,483.0,0.08,0.19,0.2,4.99,Centrum-West,0.6776859504132231,186.53168044077134
30,291752,0.6,False,Oud-Oost,52.35179,4.91082,Private room,2,1,1,2,$105.00,3,1125,True,1,0,4.86,False,,52.5,315.0,0.06,0.17,0.16,4.99,Oud-Oost,0.7945205479452054,104.6986301369863
31,304143,1.0,False,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1,1,6,$95.00,3,30,True,0,0,4.55,False,,47.5,285.0,0.04,0.1,0.17,4.99,Oud-Oost,0.0,95.0
